HASC_1,gouvernorat,tri
TN.AN,Ariana,15.8
TN.BJ,Beja,15.3
TN.BA,Ben Arous,15.1
TN.BZ,Bizerta,16
TN.GB,Gabès,16.3
TN.GF,Gafsa,15.2
TN.JE,Jendouba,15.6
TN.KR,Kairouan,15.6
TN.KS,Kasserine,17.2
TN.KB,Kebili,17
TN.KF,Kef,18.2
TN.MH,Mahdia,15.4
TN.MN,Manouba,15.1
TN.ME,Medenine,16.3
TN.MS,Monastir,17.6
TN.NB,Nabeul,16.8
TN.SF,Sfax,15.3
TN.SZ,Sidi Bouzid,17.6
TN.SL,Siliana,16.7
TN.SS,Sousse,15.9
TN.TA,Tataouine,16.6
TN.TO,Tozeur,17.3
TN.TU,Tunis,17.7
TN.ZA,Zaghouan,18
