HASC_1,gouvernorat,tri
TN.AN,Ariana,24.8
TN.BJ,Beja,25.3
TN.BA,Ben Arous,25.1
TN.BZ,Bizerta,25
TN.GB,Gabès,26.3
TN.GF,Gafsa,26.2
TN.JE,Jendouba,22.6
TN.KR,Kairouan,25.6
TN.KS,Kasserine,24.2
TN.KB,Kebili,27
TN.KF,Kef,23.2
TN.MH,Mahdia,24.4
TN.MN,Manouba,25.1
TN.ME,Medenine,26.3
TN.MS,Monastir,24.6
TN.NB,Nabeul,25.8
TN.SF,Sfax,24.3
TN.SZ,Sidi Bouzid,26.6
TN.SL,Siliana,23.7
TN.SS,Sousse,24.9
TN.TA,Tataouine,28.6
TN.TO,Tozeur,29.3
TN.TU,Tunis,24.7
TN.ZA,Zaghouan,24
